# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
4.500000000000000e+00	+3.079011481462005e-02	+4.756753246864960e-01	+2.257789611919679e-18
4.599999904632568e+00	+3.086889834660369e-02	+4.737566186736278e-01	+2.256305939544136e-18
4.699999809265137e+00	+3.081141297796878e-02	+4.719148226569879e-01	+2.246816599970872e-18
4.800000190734863e+00	+3.082625287740198e-02	+4.691025388940925e-01	+2.244060627918699e-18
4.900000095367432e+00	+3.063560866534144e-02	+4.669410113977208e-01	+2.229091369712933e-18
5.000000000000000e+00	+3.067173101726253e-02	+4.648762665382088e-01	+2.224148708295197e-18
5.099999904632568e+00	+3.058430592004660e-02	+4.628573293362567e-01	+2.213655940759062e-18
5.199999809265137e+00	+3.069821459457540e-02	+4.617309494626379e-01	+2.210328040960539e-18
5.300000190734863e+00	+3.079343622584107e-02	+4.610688988010323e-01	+2.208977703432456e-18
5.400000095367432e+00	+3.077896775057036e-02	+4.608508375926708e-01	+2.197797162916775e-18
5.500000000000000e+00	+3.093742212827945e-02	+4.606373769543123e-01	+2.202195687502483e-18
5.599999904632568e+00	+3.089387759057877e-02	+4.601405353060893e-01	+2.199115527146068e-18
5.699999809265137e+00	+3.105696305822069e-02	+4.610488496456842e-01	+2.202518049212852e-18
5.800000190734863e+00	+3.100851963360331e-02	+4.606066195400772e-01	+2.196723897905813e-18
5.900000095367432e+00	+3.110812236138751e-02	+4.610531903591771e-01	+2.198501506090803e-18
6.000000000000000e+00	+3.097243995299053e-02	+4.609021513471074e-01	+2.194007996082055e-18
6.099999904632568e+00	+3.101362761574690e-02	+4.611948223406586e-01	+2.194407553655087e-18
6.199999809265137e+00	+2.972629039992843e-02	+4.503639774754055e-01	+1.097036512909419e-18
6.300000190734863e+00	+3.260731477794356e-02	+4.760526603383614e-01	+1.151701364603216e-18
6.400000095367432e+00	+3.204643781351657e-02	+4.728962854652952e-01	+1.146809989904836e-18
6.500000000000000e+00	+3.195041384089695e-02	+4.726911675685598e-01	+1.145245802462361e-18
