# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
1.200188547372818e-01	+2.080244890571377e-01	-2.114752629923224e-01	+1.483681978360378e-17
1.213501393795013e-01	+2.109171836591712e-01	-2.034191817624090e-01	+1.865174312037605e-18
1.226814240217209e-01	+2.154933520615752e-01	-1.975529518641731e-01	+1.834780894047224e-18
1.240127161145210e-01	+2.221048388114757e-01	-1.940011855269740e-01	+3.287422843751527e-18
1.253440082073212e-01	+2.277604871193802e-01	-1.892121104452694e-01	-9.644134505266172e-18
1.266752928495407e-01	+2.338351144028713e-01	-1.848917651900871e-01	+1.389305486308503e-18
1.280065774917603e-01	+2.388507859708741e-01	-1.794370342110364e-01	+1.379943703614732e-17
1.293378621339798e-01	+2.419993578202092e-01	-1.722236259455133e-01	+1.985634957074591e-18
1.306691467761993e-01	+2.463433515996759e-01	-1.662347180044765e-01	+2.608014137776264e-18
1.320004463195801e-01	+2.510725508741986e-01	-1.605399406948569e-01	+2.529494730616283e-18
1.333317309617996e-01	+2.564424566067498e-01	-1.552981434380687e-01	+1.525029203064511e-18
1.346630156040192e-01	+2.606700739282731e-01	-1.491594953878080e-01	+2.571605112966014e-18
1.359943002462387e-01	+2.638718520285241e-01	-1.422691347443281e-01	+2.687356504467608e-18
1.373255848884583e-01	+2.677038462359209e-01	-1.358764750031658e-01	+1.084103210699259e-18
1.386568844318390e-01	+2.713262808454783e-01	-1.293340780252238e-01	+3.274545088336372e-18
1.399881690740585e-01	+2.751920193724305e-01	-1.229221553143487e-01	+2.921879178451164e-18
1.413194537162781e-01	+2.793915185473849e-01	-1.166840352252612e-01	+2.645698890094830e-18
1.426507383584976e-01	+2.816015013028756e-01	-1.093242885504794e-01	-1.108249680497354e-17
1.439820230007172e-01	+2.855004024288335e-01	-1.028918594244372e-01	+1.462612484911790e-17
1.453133225440979e-01	+2.871878396610957e-01	-9.533286994190669e-02	-1.098448945307935e-17
1.466446071863174e-01	+2.905659240167734e-01	-8.860764005953470e-02	+1.386629001867358e-17
1.479758918285370e-01	+2.931245012848254e-01	-8.149152969927578e-02	+1.787867723966065e-18
1.493071764707565e-01	+2.955985251367593e-01	-7.433791050414264e-02	+3.562905757535902e-18
1.506384611129761e-01	+2.977201126685599e-01	-6.705481927133780e-02	-8.692841191796884e-19
1.519697606563568e-01	+2.995903443743068e-01	-5.968534957047316e-02	+2.618479764653975e-18
1.533010452985764e-01	+3.019855518303416e-01	-5.248346740888065e-02	-8.644725172131496e-18
1.546323299407959e-01	+3.024467073663963e-01	-4.470546437253727e-02	+1.280048075318948e-17
1.559636145830154e-01	+3.052335533359122e-01	-3.756902011708972e-02	-9.014964357454081e-18
1.572949141263962e-01	+3.052256425807892e-01	-2.973918530739253e-02	+1.298036168384541e-17
1.586261987686157e-01	+3.068474100075561e-01	-2.229761537992827e-02	-1.002065390049741e-17
1.599574834108353e-01	+3.077989934103959e-01	-1.469435067386885e-02	+2.448442746797543e-18
1.612887680530548e-01	+3.091239565803640e-01	-7.155061805006808e-03	+1.415626701213649e-17
1.626200526952744e-01	+3.091130793305128e-01	+5.778454375900896e-04	+4.368720524107319e-18
1.639513522386551e-01	+3.090174685066225e-01	+8.294691347206848e-03	+2.163072399423674e-18
1.652826368808746e-01	+3.090901381364535e-01	+1.598692623916621e-02	-9.734152512729412e-18
1.666139215230942e-01	+3.092352703637992e-01	+2.367919012057085e-02	+1.269299992167932e-17
1.679430902004242e-01	+3.090091714428090e-01	+3.137781410798775e-02	+1.519614156974587e-18
1.692722439765930e-01	+3.085670685638275e-01	+3.907589836965737e-02	+3.331892864203091e-18
1.705992966890335e-01	+3.077855875793165e-01	+4.675608115027072e-02	+1.842440434203348e-18
1.719263345003128e-01	+3.144595006483668e-01	+5.495147086149531e-02	+2.285030676846667e-18
1.732512563467026e-01	+3.045177595603935e-01	+6.195340166375035e-02	-9.926170980369088e-18
1.745761632919312e-01	+3.047683587996910e-01	+6.972283404055515e-02	+1.273517835807404e-17
1.759010851383209e-01	+3.035830288265558e-01	+7.736395087082648e-02	+2.985522557164845e-18
1.772238761186600e-01	+3.014153720761477e-01	+8.484216214712964e-02	-1.059039622166941e-17
1.785466670989990e-01	+2.993566023512313e-01	+9.231728007178422e-02	+1.416219262948581e-17
1.798673272132874e-01	+2.977598298321866e-01	+9.987315231984961e-02	+1.845325272186053e-18
